episode,s_0,s_1,s_2,s_3,s_4,s_5,s_6,action,d_0,d_1,d_2,d_3,d_4,d_5
1,0.66170835,0.008416853,3.9395244,4.646778e-07,298.4388,298.43878,-4.133373,-2.310794,0.00042796135,0.0,0.0413661,5.9791805e-06,-0.016693115,-0.016662598
1,0.6621363,0.008416853,3.9808905,6.443858e-06,298.42212,298.42212,-2.310794,-2.5456355,0.00047141314,9.313226e-10,-0.018998623,-5.934119e-06,-0.025726318,-0.025756836
1,0.6626077,0.008416854,3.961892,5.097389e-07,298.3964,298.39636,-2.5456355,-4.0403843,0.0007482171,2.7939677e-09,0.0033328533,1.2152195e-06,-0.02166748,-0.02166748
1,0.66335595,0.008416857,3.9652247,1.7249585e-06,298.37473,298.3747,-4.0403843,-10.433375,0.0019320846,1.0244548e-08,0.022142172,6.430149e-07,-0.009765625,-0.009735107
1,0.66528803,0.008416867,3.987367,2.3679734e-06,298.36496,298.36496,-10.433375,0.0,0.0,-5.5879354e-09,0.061070204,1.8152434e-06,0.06668091,0.06668091
1,0.66528803,0.008416861,4.048437,4.183217e-06,298.43164,298.43164,0.0,-1.2154585,0.00022506714,-2.7939677e-09,-0.10479927,-3.890975e-06,-0.03286743,-0.03286743
1,0.6655131,0.0084168585,3.9436378,2.9224157e-07,298.39877,298.39877,-1.2154585,0.0,0.0,-2.7939677e-09,0.008724213,3.6834354e-07,-0.026977539,-0.026977539
1,0.6655131,0.008416856,3.952362,6.605851e-07,298.3718,298.3718,0.0,-4.986882,0.00092351437,-2.7939677e-09,-0.014378309,-2.3071641e-07,-0.025878906,-0.025878906
1,0.6664366,0.008416853,3.9379838,4.298687e-07,298.34592,298.34592,-4.986882,-14.7381115,0.0027292967,1.3969839e-08,0.06354499,5.800724e-07,0.00079345703,0.00079345703
1,0.6691659,0.008416867,4.0015287,1.0099411e-06,298.3467,298.3467,-14.7381115,-4.260132,0.0007889271,1.8626451e-09,0.089244366,3.7934778e-06,0.1430664,0.14303589
1,0.66995484,0.008416869,4.090773,4.803419e-06,298.48978,298.48975,-4.260132,0.0,0.0,-3.7252903e-09,-0.08607197,-2.5041275e-06,-0.018615723,-0.018585205
1,0.66995484,0.008416865,4.004701,2.2992915e-06,298.47116,298.47116,0.0,-9.862037,0.0018262863,7.450581e-09,-0.048436165,-1.8930263e-06,-0.037475586,-0.037506104
1,0.6717811,0.0084168725,3.956265,4.0626526e-07,298.4337,298.43365,-9.862037,-3.128054,0.00057923794,0.0,0.10024881,3.4019945e-06,0.051971436,0.051971436
1,0.67236036,0.0084168725,4.056514,3.8082599e-06,298.48566,298.48563,-3.128054,0.0,0.0,-3.7252903e-09,-0.06443453,-2.2206707e-06,-0.027191162,-0.027191162
1,0.67236036,0.008416869,3.9920793,1.5875892e-06,298.45847,298.45844,0.0,-11.530297,0.0021352768,1.0244548e-08,-0.034038067,-9.195403e-07,-0.036010742,-0.036010742
1,0.67449564,0.008416879,3.9580412,6.6804887e-07,298.42245,298.42242,-11.530297,-0.89150405,0.00016510487,-4.656613e-09,0.11324215,3.5287144e-06,0.07839966,0.078430176
1,0.67466074,0.008416874,4.0712833,4.1967633e-06,298.50085,298.50085,-0.89150405,-14.123731,0.0026155114,-2.7008355e-08,-0.09383798,-3.8620237e-06,-0.039398193,-0.039398193
1,0.67727625,0.008416847,3.9774454,3.347397e-07,298.46146,298.46146,-14.123731,-3.9026558,0.0007227063,1.8626451e-09,0.1244638,4.8632623e-06,0.12225342,0.1222229
1,0.67799896,0.008416849,4.101909,5.198002e-06,298.5837,298.58368,-3.9026558,-4.647046,0.00086057186,4.656613e-09,-0.08430767,-3.6833285e-06,-0.03189087,-0.03186035
1,0.67885953,0.008416854,4.0176015,1.5146733e-06,298.55182,298.55182,-4.647046,-2.597734,0.00048100948,9.313226e-10,0.0042304993,8.858441e-07,-0.022521973,-0.022521973
1,0.67934054,0.008416855,4.021832,2.4005174e-06,298.5293,298.5293,-2.597734,-15.446132,0.002860427,1.1175871e-08,-0.016534328,-4.931687e-07,-0.035583496,-0.035583496
1,0.68220097,0.008416866,4.0052977,1.9073486e-06,298.4937,298.4937,-15.446132,-3.9851182,0.0007379651,9.313226e-10,0.115585804,2.4042129e-06,0.14590454,0.14590454
1,0.68293893,0.008416867,4.1208835,4.3115615e-06,298.63962,298.63962,-3.9851182,-15.855642,0.002936244,1.3969839e-08,-0.08532381,-2.1095275e-06,-0.037200928,-0.037200928
1,0.6858752,0.008416881,4.0355597,2.202034e-06,298.60242,298.60242,-15.855642,-7.2754307,0.0013473034,5.5879354e-09,0.10362625,2.6984217e-06,0.14807129,0.14804077
1,0.6872225,0.008416886,4.139186,4.9004557e-06,298.7505,298.75046,-7.2754307,0.0,0.0,-4.656613e-09,-0.06659603,-7.090839e-07,-0.012084961,-0.012054443
1,0.6872225,0.008416882,4.07259,4.1913718e-06,298.7384,298.7384,0.0,-7.2758684,0.001347363,4.656613e-09,-0.08376217,-3.8552016e-06,-0.06869507,-0.06869507
1,0.68856984,0.008416886,3.9888277,3.361702e-07,298.6697,298.6697,-7.2758684,-4.1486826,0.0007683039,9.313226e-10,0.07514143,3.0179024e-06,-0.007659912,-0.007659912
1,0.68933815,0.008416887,4.063969,3.3540725e-06,298.66205,298.66205,-4.1486826,0.0,0.0,-3.7252903e-09,-0.033721447,-1.5307367e-06,-0.03955078,-0.03955078
1,0.68933815,0.008416884,4.0302477,1.8233359e-06,298.6225,298.6225,0.0,-6.3898034,0.0011832714,3.7252903e-09,-0.04920101,-1.4957487e-06,-0.055145264,-0.055145264
1,0.6905214,0.008416887,3.9810467,3.2758712e-07,298.56735,298.56735,-6.3898034,0.0,0.0,-4.656613e-09,0.06572914,2.9135897e-06,-0.008911133,-0.008911133
1,0.6905214,0.008416883,4.046776,3.2411767e-06,298.55844,298.55844,0.0,0.0,0.0,-2.7939677e-09,-0.072226524,-3.1686643e-06,-0.047668457,-0.047698975
1,0.6905214,0.00841688,3.9745493,7.251251e-08,298.51077,298.51074,0.0,-1.7230983,0.00031912327,-1.8626451e-09,-0.0041429996,1.533891e-07,-0.042114258,-0.042114258
1,0.69084054,0.008416878,3.9704063,2.259016e-07,298.46866,298.46863,-1.7230983,-5.7744703,0.0010693073,2.7939677e-09,0.020548344,7.828474e-07,-0.033813477,-0.03378296
1,0.69190985,0.008416881,3.9909546,1.008749e-06,298.43484,298.43484,-5.7744703,-5.735438,0.0010621548,3.7252903e-09,0.046536684,1.4486313e-06,-0.0019836426,-0.0019836426
1,0.692972,0.008416885,4.0374913,2.4573803e-06,298.43286,298.43286,-5.735438,-1.1434078,0.0002117157,-2.7939677e-09,0.0015115738,3.486275e-07,-0.0010070801,-0.0010070801
1,0.6931837,0.008416882,4.039003,2.8060078e-06,298.43185,298.43185,-1.1434078,-3.1961792,0.0005918741,-2.7939677e-09,-0.049589634,-2.1508336e-06,-0.030944824,-0.030975342
1,0.6937756,0.008416879,3.9894133,6.5517423e-07,298.4009,298.40088,-3.1961792,0.0,0.0,-2.7939677e-09,0.019976139,-2.0067827e-07,-0.01828003,-0.018249512
1,0.6937756,0.008416876,4.0093894,4.5449596e-07,298.38263,298.38263,0.0,0.0,0.0,-2.7939677e-09,-0.039309263,-3.9864298e-07,-0.027160645,-0.027160645
1,0.6937756,0.008416873,3.9700801,5.5852972e-08,298.35547,298.35547,0.0,-8.671392,0.0016058087,6.519258e-09,0.0021679401,3.070201e-07,-0.023986816,-0.023986816
1,0.6953814,0.00841688,3.972248,3.6287307e-07,298.33148,298.33148,-8.671392,-0.9398992,0.00017410517,-2.7939677e-09,0.09024143,2.435386e-06,0.043060303,0.043060303
1,0.6955555,0.008416877,4.0624895,2.7982592e-06,298.37454,298.37454,-0.9398992,-2.1864092,0.00040489435,-3.7252903e-09,-0.0763669,-2.6177763e-06,-0.024841309,-0.024841309
1,0.6959604,0.008416873,3.9861226,1.8048287e-07,298.3497,298.3497,-2.1864092,0.0,0.0,-2.7939677e-09,0.0109062195,2.7492297e-07,-0.0178833,-0.0178833
1,0.6959604,0.008416871,3.9970288,4.5540583e-07,298.33182,298.33182,0.0,0.0,0.0,-2.7939677e-09,-0.027943134,-4.018272e-07,-0.021209717,-0.021209717
1,0.6959604,0.008416868,3.9690857,5.357862e-08,298.3106,298.3106,0.0,-7.510771,0.0013908744,5.5879354e-09,0.0019688606,3.0738713e-07,-0.018737793,-0.01876831
1,0.6973513,0.008416873,3.9710546,3.6096574e-07,298.29187,298.29184,-7.510771,-4.1601357,0.00077039003,1.8626451e-09,0.082075596,3.0131341e-06,0.03274536,0.03277588
1,0.69812167,0.008416875,4.05313,3.3740998e-06,298.32462,298.32462,-4.1601357,0.0,0.0,-3.7252903e-09,-0.030454636,-1.5360523e-06,-0.0025024414,-0.002532959
1,0.69812167,0.008416872,4.0226755,1.8380475e-06,298.3221,298.32208,0.0,0.0,0.0,-2.7939677e-09,-0.049731016,-1.7687464e-06,-0.020111084,-0.020080566
1,0.69812167,0.008416869,3.9729445,6.930115e-08,298.302,298.302,0.0,-0.6641989,0.00012296438,-1.8626451e-09,-0.00339818,-2.9038215e-08,-0.017730713,-0.017730713
1,0.69824463,0.008416867,3.9695463,4.0262936e-08,298.28427,298.28427,-0.6641989,-3.8329072,0.0007098317,1.8626451e-09,0.007787466,2.3582578e-07,-0.015106201,-0.015106201
1,0.69895446,0.008416869,3.9773338,2.760887e-07,298.26917,298.26917,-3.8329072,0.0,0.0,-3.7252903e-09,0.034822226,1.5707859e-06,0.00033569336,0.00033569336
1,0.69895446,0.008416865,4.012156,1.8468746e-06,298.2695,298.2695,0.0,-5.042423,0.00093376637,4.656613e-09,-0.04052806,-1.5455136e-06,-0.013946533,-0.013946533
1,0.6998882,0.00841687,3.971628,3.013611e-07,298.25555,298.25555,-5.042423,-11.956642,0.0022141933,1.21071935e-08,0.0626843,2.3145676e-06,0.0115356445,0.0115356445
1,0.7021024,0.008416882,4.0343122,2.6159287e-06,298.2671,298.2671,-11.956642,-4.7101994,0.0008722544,1.8626451e-09,0.06730175,1.7333032e-06,0.10223389,0.10223389
1,0.7029747,0.008416884,4.101614,4.349232e-06,298.36932,298.36932,-4.7101994,0.0,0.0,-3.7252903e-09,-0.061192513,-1.5766448e-06,-0.0012512207,-0.0012817383
1,0.7029747,0.00841688,4.0404215,2.772587e-06,298.36807,298.36804,0.0,-1.118971,0.00020724535,-1.8626451e-09,-0.057528973,-2.5235588e-06,-0.025482178,-0.02545166
1,0.7031819,0.008416878,3.9828925,2.490282e-07,298.3426,298.3426,-1.118971,-13.341156,0.002470553,3.7252903e-09,0.017087936,5.606413e-07,-0.0206604,-0.0206604
1,0.7056525,0.008416882,3.9999804,8.096695e-07,298.32193,298.32193,-13.341156,-3.731365,0.00069099665,9.313226e-10,0.11746693,2.0756722e-06,0.12088013,0.12088013
1,0.7063435,0.008416883,4.1174474,2.8853417e-06,298.4428,298.4428,-3.731365,-2.051518,0.00037992,-9.313226e-10,-0.080525875,-9.951592e-07,-0.017578125,-0.017578125
1,0.7067234,0.008416882,4.0369215,1.8901825e-06,298.42523,298.42523,-2.051518,-4.889235,0.00090539455,0.0,-0.020716667,-4.5657157e-07,-0.026397705,-0.026397705
1,0.7076288,0.008416882,4.016205,1.4336109e-06,298.39883,298.39883,-4.889235,-2.9081376,0.00053858757,-9.313226e-10,0.029607296,4.6300886e-07,-0.0039367676,-0.0039367676
1,0.7081674,0.008416881,4.045812,1.8966198e-06,298.3949,298.3949,-2.9081376,-3.521261,0.0006520748,9.313226e-10,-0.02109766,-4.6348566e-07,-0.018554688,-0.018554688
1,0.70881945,0.008416882,4.0247145,1.4331341e-06,298.37634,298.37634,-3.521261,-1.4969532,0.0002772212,-1.8626451e-09,0.004919052,-3.2842195e-08,-0.012634277,-0.012634277
1,0.70909667,0.00841688,4.0296335,1.4002919e-06,298.3637,298.3637,-1.4969532,0.0,0.0,-1.8626451e-09,-0.025774956,-9.5158407e-07,-0.021911621,-0.021911621
1,0.70909667,0.008416878,4.0038586,4.4870788e-07,298.3418,298.3418,0.0,-14.033216,0.002598703,8.381903e-09,-0.011943579,2.655942e-07,-0.022369385,-0.022369385
1,0.7116954,0.008416886,3.991915,7.143021e-07,298.31943,298.31943,-14.033216,0.0,0.0,-3.7252903e-09,0.13302636,2.9989997e-06,0.13232422,0.13232422
1,0.7116954,0.008416883,4.1249413,3.7133018e-06,298.45175,298.45175,0.0,0.0,0.0,-4.656613e-09,-0.13065147,-3.3879728e-06,-0.035217285,-0.035247803
1,0.7116954,0.008416878,3.9942899,3.2532893e-07,298.41653,298.4165,0.0,0.0,0.0,-3.7252903e-09,-0.0063843727,0.0,-0.03112793,-0.031097412
1,0.7116954,0.008416874,3.9879055,3.2532893e-07,298.3854,298.3854,0.0,-3.912657,0.00072455406,2.7939677e-09,-0.0015535355,7.044591e-08,-0.02746582,-0.027496338
1,0.7124199,0.008416877,3.986352,3.9577483e-07,298.35794,298.3579,-3.912657,0.0,0.0,-2.7939677e-09,0.042492867,1.9292313e-06,-0.009033203,-0.009002686
1,0.7124199,0.008416874,4.028845,2.325006e-06,298.3489,298.3489,0.0,-3.9204125,0.0007260442,1.8626451e-09,-0.0428648,-2.0365196e-06,-0.023223877,-0.023223877
1,0.713146,0.008416876,3.98598,2.884865e-07,298.32568,298.32568,-3.9204125,-0.1606151,2.9742718e-05,-2.7939677e-09,0.042645454,1.5522317e-06,-0.0053100586,-0.0053100586
1,0.7131757,0.008416873,4.0286255,1.8407181e-06,298.32037,298.32037,-0.1606151,-5.5138426,0.0010210872,-7.0780516e-08,-0.03983307,-5.399064e-07,-0.019805908,-0.019805908
1,0.7141968,0.008416803,3.9887924,1.3008117e-06,298.30057,298.30057,-5.5138426,-6.9018455,0.0012781024,2.7939677e-09,0.062325954,2.2510529e-05,0.010986328,0.010955811
1,0.7154749,0.008416805,4.0511184,2.381134e-05,298.31155,298.31152,-6.9018455,-13.348977,0.002472043,2.4214387e-08,0.024273872,-2.290249e-05,0.0256958,0.0256958
1,0.71794695,0.00841683,4.0753922,9.0885163e-07,298.33725,298.33722,-13.348977,0.0,0.0,-3.7252903e-09,0.05657482,4.2805154e-06,0.12283325,0.12286377
1,0.71794695,0.008416826,4.131967,5.189367e-06,298.46008,298.46008,0.0,0.0,0.0,-9.313226e-10,-0.1291852,-4.684609e-06,-0.036193848,-0.036193848
1,0.71794695,0.008416825,4.002782,5.047581e-07,298.4239,298.4239,0.0,-4.0585785,0.00075155497,7.450581e-09,-0.0046420097,-3.7768098e-07,-0.031982422,-0.031982422
1,0.7186985,0.008416832,3.9981399,1.270771e-07,298.3919,298.3919,-4.0585785,-5.964264,0.0011045337,5.5879354e-09,0.04685402,3.3342837e-06,-0.010864258,-0.010864258
