episode,s_0,s_1,s_2,s_3,s_4,s_5,s_6,action,d_0,d_1,d_2,d_3,d_4,d_5
2,0.5577492,0.0061798533,4.058344,9.059906e-06,300.183,300.18298,-19.011858,-26.759087,0.004955411,2.2817403e-08,0.015404701,4.7683716e-07,0.064819336,0.06478882
2,0.5627046,0.006179876,4.0737486,9.536743e-06,300.24783,300.24777,-26.759087,-12.793004,0.0023690462,5.5879354e-09,0.062443733,1.9073486e-06,0.28466797,0.28463745
2,0.56507367,0.0061798817,4.1361923,1.1444092e-05,300.5325,300.5324,-12.793004,-17.303705,0.0032044053,7.450581e-09,-0.0867815,-3.8146973e-06,-0.10290527,-0.102874756
2,0.5682781,0.006179889,4.049411,7.6293945e-06,300.4296,300.42953,-17.303705,-8.420806,0.0015594363,1.3969839e-09,0.029384136,-4.7683716e-07,0.0028381348,0.0028076172
2,0.5698375,0.0061798906,4.078795,7.1525574e-06,300.43243,300.43234,-8.420806,-19.489779,0.0036091805,5.122274e-09,-0.072520256,-2.3841858e-06,-0.18029785,-0.18026733
2,0.5734467,0.0061798957,4.0062747,4.7683716e-06,300.25214,300.25208,-19.489779,-29.84555,0.00552696,2.2817403e-08,0.081936836,9.536743e-07,0.064453125,0.064453125
2,0.57897365,0.0061799185,4.0882115,5.722046e-06,300.3166,300.31653,-29.84555,-16.790716,0.0031093955,1.071021e-08,0.08331823,5.722046e-06,0.37445068,0.37438965
2,0.58208305,0.0061799292,4.17153,1.1444092e-05,300.69104,300.69092,-16.790716,-4.6105294,0.00085383654,-3.259629e-09,-0.070192814,-2.3841858e-06,-0.024902344,-0.024902344
2,0.5829369,0.006179926,4.101337,9.059906e-06,300.66614,300.66602,-4.6105294,-25.215204,0.004669428,-1.8626451e-09,-0.11621928,-6.198883e-06,-0.2584839,-0.25845337
2,0.5876063,0.006179924,3.9851177,2.861023e-06,300.40765,300.40756,-25.215204,-14.477154,0.0026809573,6.9849193e-09,0.15695357,9.536743e-07,0.20385742,0.20388794
2,0.59028727,0.006179931,4.1420712,3.8146973e-06,300.6115,300.61145,-14.477154,-11.786701,0.002182722,4.656613e-09,-0.060926437,2.3841858e-06,-0.081970215,-0.08200073
2,0.59247,0.0061799358,4.081145,6.198883e-06,300.52954,300.52945,-11.786701,-26.616238,0.0049289465,1.8626451e-08,-0.024878025,0.0,-0.13278198,-0.13278198
2,0.59739894,0.0061799544,4.056267,6.198883e-06,300.39676,300.39667,-26.616238,-10.681643,0.0019780993,2.7939677e-09,0.10941744,3.8146973e-06,0.2531128,0.2531128
2,0.59937704,0.006179957,4.165684,1.001358e-05,300.64987,300.64978,-10.681643,-32.016922,0.005929053,1.6298145e-08,-0.10371065,-3.8146973e-06,-0.1619873,-0.16195679
2,0.6053061,0.0061799735,4.0619736,6.198883e-06,300.48788,300.48782,-32.016922,-14.230527,0.0026353002,2.7939677e-09,0.15528393,4.7683716e-06,0.4296875,0.42965698
3,0.852623,0.010120206,4.079357,6.67572e-06,298.15,298.15,0.0,-15.356332,0.0028437972,9.406358e-08,8.583069e-06,-6.67572e-06,0.0,0.0
3,0.8554668,0.0101203,4.0793657,0.0,298.15,298.15,-15.356332,-15.102038,0.00279665,3.259629e-08,0.15191889,3.2901764e-05,0.1800232,0.17993164
4,0.7375143,0.011362349,3.982318,2.1457672e-06,298.15,298.15,0.0,-28.814499,0.005336046,-1.648441e-07,9.775162e-06,-2.1457672e-06,0.0,0.0
4,0.74285036,0.011362184,3.9823277,0.0,298.15,298.15,-28.814499,-18.443104,0.0034153461,-2.0489097e-08,0.25090098,5.6743622e-05,0.5005493,0.5003052
5,0.8611575,0.0096471375,4.0854096,1.4781952e-05,298.15,298.15,0.0,-14.632858,0.002709806,1.5832484e-08,5.2452087e-06,-1.4781952e-05,0.0,0.0
5,0.8638673,0.009647153,4.085415,0.0,298.15,298.15,-14.632858,-14.43237,0.0026726723,5.5879354e-09,0.14513826,3.0994415e-05,0.16696167,0.16687012
6,0.8749794,0.008722263,4.091901,1.9073486e-06,298.15,298.15,0.0,-13.712136,0.002539277,1.21071935e-08,1.1444092e-05,-1.9073486e-06,0.0,0.0
6,0.87751865,0.0087222755,4.0919123,0.0,298.15,298.15,-13.712136,-13.56539,0.0025120974,3.7252903e-09,0.13772678,3.0040741e-05,0.15127563,0.15118408
7,0.84305817,0.008796788,4.0769944,9.536743e-07,298.15,298.15,0.0,-16.28355,0.0030155182,1.9557774e-07,1.1444092e-05,-9.536743e-07,0.0,0.0
7,0.8460737,0.008796983,4.077006,0.0,298.15,298.15,-16.28355,-12.291906,0.0022762418,4.9360096e-08,0.15912342,3.4332275e-05,0.19848633,0.19836426
8,0.755598,0.009888867,3.9985137,2.3841858e-06,298.15,298.15,0.0,-24.88045,0.0046074986,1.6018748e-07,9.775162e-06,-2.3841858e-06,0.0,0.0
8,0.7602055,0.009889027,3.9985235,0.0,298.15,298.15,-24.88045,-12.035312,0.0022287369,1.0244548e-08,0.22631526,5.054474e-05,0.39282227,0.39263916
9,0.6610386,0.010650622,3.9046736,1.0967255e-05,298.15,298.15,0.0,-10.341714,0.0019150972,-7.543713e-08,5.4836273e-06,-1.0967255e-05,0.0,0.0
9,0.6629537,0.010650546,3.904679,0.0,298.15,298.15,-10.341714,-16.189487,0.002998054,-2.7008355e-08,0.11278319,2.8133392e-05,0.08416748,0.08413696
